game_date,home_team,away_team,margin,total,home_score,away_score,overtime
2024-12-18,North Dakota,Alabama,-7,187,90,97,False
2024-12-18,Marquette,Butler,10,150,80,70,False
2024-12-18,Connecticut,Xavier,5,183,94,89,True
2024-12-18,Gonzaga,Nicholls,30,174,102,72,False
2024-12-18,Oklahoma,Michigan,1,173,87,86,False
2024-12-18,Houston,Toledo,29,127,78,49,False
2024-12-18,Virginia,Memphis,-2,126,62,64,False
2024-12-18,Sacred Heart,UAlbany,-8,140,66,74,False
2024-12-18,Dartmouth,Le Moyne,-4,156,76,80,False
2024-12-18,Green Bay,Michigan Tech,-2,142,70,72,False
2024-12-18,East Texas A&M,Abilene Christian,1,135,68,67,False
2024-12-18,Texas A&M Corpus Chris,Southwestern Adventist,54,180,117,63,False
2024-12-18,Presbyterian,Virginia-Lynchburg,63,169,116,53,False
2024-12-18,Binghamton,Mercyhurst,2,122,62,60,False
2024-12-18,UMass Lowell,Stonehill,11,145,78,67,False
2024-12-18,USC Upstate,South Carolina St.,-15,155,70,85,False
2024-12-18,Georgetown,Creighton,24,138,81,57,False
2024-12-18,La Salle,Fairleigh Dickinson,5,149,77,72,False
2024-12-18,Furman,Montreat,25,175,100,75,False
2024-12-18,Chattanooga,Tennessee Wesleyan,47,151,99,52,False
2024-12-18,UNC Wilmington,Florida Gulf Coast,13,145,79,66,False
2024-12-18,Hampton,Regent,43,173,108,65,False
2024-12-18,Long Island University,Mount St. Mary's,-8,152,72,80,False
2024-12-18,Indiana St.,Murray St.,10,158,84,74,False
2024-12-18,South Florida,Bethune-Cookman,-8,146,69,77,False
2024-12-18,Wagner,Manhattan,-14,146,66,80,False
2024-12-18,Temple,Davidson,1,123,62,61,False
2024-12-18,Fairfield,Central Connecticut,-1,127,63,64,False
2024-12-18,Ohio,Austin Peay,20,136,78,58,False
2024-12-18,Vermont,Miami OH,8,142,75,67,False
2024-12-18,East Tennessee St.,Elon,26,142,84,58,False
2024-12-18,Campbell,Longwood,-22,132,55,77,False
2024-12-18,William & Mary,Richmond,6,180,93,87,False
2024-12-18,Massachusetts,Northeastern,5,149,77,72,False
2024-12-18,George Washington,Lafayette,20,144,82,62,False
2024-12-18,Wright St.,Youngstown St.,-10,150,70,80,False
2024-12-18,Northern Kentucky,Detroit Mercy,13,133,73,60,False
2024-12-18,Queens University,Mercer,7,139,73,66,False
2024-12-18,Saint Joseph's,American University,27,141,84,57,False
2024-12-18,UAB,Alabama A&M,29,163,96,67,False
2024-12-18,UT Rio Grande Valley,Southern Utah,5,151,78,73,False
2024-12-18,Georgia Tech,UMBC,9,173,91,82,False
2024-12-18,Vanderbilt,The Citadel,52,158,105,53,False
2024-12-18,Missouri St.,Lincoln (MO),12,110,61,49,False
2024-12-18,UT Arlington,Evansville,26,134,80,54,False
2024-12-18,Bradley,San Francisco,2,130,66,64,False
2024-12-18,North Texas,Mississippi Valley St.,41,125,83,42,False
2024-12-18,Illinois St.,Northern Illinois,21,141,81,60,False
2024-12-18,Saint Louis,Wofford,-3,145,71,74,False
2024-12-18,Oklahoma St.,Tarleton St.,5,127,66,61,False
2024-12-18,Louisiana,App St.,6,130,68,62,False
2024-12-18,Loyola Chicago,Canisius,12,132,72,60,False
2024-12-18,Arizona,Samford,32,160,96,64,False
2024-12-18,Idaho St.,Utah Valley,-14,126,56,70,False
2024-12-18,UC Davis,Idaho,8,140,74,66,False
2024-12-18,Weber St.,Lincoln University (CA),70,186,128,58,False
2024-12-18,New Mexico,VCU,7,149,78,71,False
2024-12-18,Loyola Marymount,UC Santa Barbara,2,118,60,58,False
2024-12-18,Portland,Cal St. Bakersfield,-17,145,64,81,False
2024-12-18,USC,Cal St. Northridge,21,159,90,69,False
2024-12-18,UC Riverside,Montana St.,3,163,83,80,False
2024-12-18,Pacific,Portland St.,-6,156,75,81,False
2024-12-18,Santa Clara,Kennesaw St.,20,168,94,74,False
2024-12-18,Washington,Washington St.,16,162,89,73,False
