game_date,home_team,away_team,margin,total,home_score,away_score,overtime
2025-12-01,Chicago St.,St. Xavier (IL),23,147,85,62,False
2025-12-01,Southern,Louisiana Christian,53,149,101,48,False
2025-12-01,Villanova,Temple,18,130,74,56,False
2025-12-01,Toledo,Central St. (OH),44,160,102,58,False
2025-12-01,Hampton,Apprentice School,36,152,94,58,False
2025-12-01,Troy,West Georgia,-4,182,89,93,True
2025-12-01,Delaware,Iona,-23,155,66,89,False
2025-12-01,Jacksonville St.,North Alabama,-7,139,66,73,False
2025-12-01,Cincinnati,Tarleton St.,18,134,76,58,False
2025-12-01,Xavier,Saint Francis,22,170,96,74,False
2025-12-01,Middle Tennessee,UAB,15,137,76,61,False
2025-12-01,Incarnate Word,McNeese,4,138,71,67,False
2025-12-01,Northern Iowa,Coe,65,133,99,34,False
2025-12-01,Kansas St.,Bowling Green,-16,148,66,82,False
2025-12-01,Southern Utah,West Coast Baptist,65,183,124,59,False
2025-12-01,New Mexico,New Mexico Highlands,50,144,97,47,False
2025-12-01,Colorado,California Baptist,8,148,78,70,False
2025-12-01,Stanford,Portland,22,166,94,72,False
2025-12-02,Rutgers,Purdue,-16,146,65,81,False
2025-12-02,Duke,Florida,1,133,67,66,False
2025-12-02,Kansas,Connecticut,-5,117,56,61,False
2025-12-02,Michigan St.,Iowa,19,123,71,52,False
2025-12-02,Syracuse,Tennessee,2,122,62,60,False
2025-12-02,Kentucky,North Carolina,-3,131,64,67,False
2025-12-02,Oregon,USC,-5,159,77,82,False
2025-12-02,Western Carolina,Virginia-Lynchburg,62,186,124,62,False
2025-12-02,Army,George Washington,-14,154,70,84,False
2025-12-02,UT Martin,Charleston Southern,17,129,73,56,False
2025-12-02,Penn St.,Campbell,11,163,87,76,False
2025-12-02,Bryant,Stonehill,12,142,77,65,False
2025-12-02,Miami OH,Indiana University East,44,174,109,65,False
2025-12-02,Indiana St.,Eureka,42,156,99,57,False
2025-12-02,South Alabama,New Mexico St.,2,152,77,75,False
2025-12-02,UNC Asheville,UNC Greensboro,5,159,82,77,False
2025-12-02,Kennesaw St.,Jackson St.,15,161,88,73,False
2025-12-02,George Mason,Cornell,18,180,99,81,False
2025-12-02,Mercer,Georgia St.,11,145,78,67,False
2025-12-02,North Florida,SIUE,-9,135,63,72,False
2025-12-02,Jacksonville,Florida A&M,3,167,85,82,True
2025-12-02,Butler,Eastern Michigan,16,152,84,68,False
2025-12-02,East Carolina,Maryland Eastern Shore,12,124,68,56,False
2025-12-02,Charlotte,North Carolina A&T,17,131,74,57,False
2025-12-02,Binghamton,Lehigh,9,151,80,71,True
2025-12-02,Yale,SUNY-Maritime,64,170,117,53,False
2025-12-02,Rhode Island,Brown,10,122,66,56,False
2025-12-02,Duquesne,William & Mary,-4,162,79,83,False
2025-12-02,Dayton,East Tennessee St.,17,159,88,71,False
2025-12-02,Providence,Fairleigh Dickinson,30,158,94,64,False
2025-12-02,South Carolina,Virginia Tech,-3,169,83,86,True
2025-12-02,Wake Forest,Oklahoma,-18,154,68,86,False
2025-12-02,Pittsburgh,Texas A&M,-8,154,73,81,False
2025-12-02,Southeast Missouri St.,Saint Mary of the Woods College,31,145,88,57,False
2025-12-02,Drake,Western Illinois,51,165,108,57,False
2025-12-02,Wichita St.,Mount Marty College,26,164,95,69,False
2025-12-02,Tulane,Grambling St.,2,128,65,63,False
2025-12-02,Long Island University,Winthrop,-2,186,92,94,True
2025-12-02,Tulsa,Manhattan Christian,51,171,111,60,False
2025-12-02,North Texas,Houston Christian,2,152,77,75,False
2025-12-02,Maryland,Wagner,26,152,89,63,False
2025-12-02,Murray St.,Morehead St.,32,136,84,52,False
2025-12-02,Bradley,Washington St.,4,124,64,60,False
2025-12-02,Arkansas St.,UT Arlington,20,146,83,63,False
2025-12-02,Northern Illinois,Lindenwood,-35,163,64,99,False
2025-12-02,Marquette,Valparaiso,3,147,75,72,True
2025-12-02,Baylor,Sacramento St.,22,198,110,88,False
2025-12-02,Loyola Chicago,Central Michigan,11,155,83,72,False
2025-12-02,Oklahoma St.,Sam Houston,10,176,93,83,False
2025-12-02,Grand Canyon,Stetson,22,112,67,45,False
2025-12-02,Pepperdine,Abilene Christian,-8,134,63,71,False
2025-12-02,Creighton,Nicholls,20,172,96,76,False
2025-12-02,Ole Miss,Miami,-9,141,66,75,False
2025-12-02,Florida St.,Georgia,-34,180,73,107,False
2025-12-02,Notre Dame,Missouri,5,147,76,71,False
2025-12-02,Nevada,UC San Diego,6,146,76,70,False
2025-12-02,California,Utah,7,151,79,72,False
2025-12-02,Loyola Marymount,Saint Louis,-21,161,70,91,False
2025-12-03,Arkansas,Louisville,9,169,89,80,False
2025-12-03,BYU,California Baptist,31,151,91,60,False
2025-12-03,Iowa St.,Alcorn St.,64,200,132,68,False
2025-12-03,Alabama,Clemson,6,174,90,84,False
2025-12-03,Vanderbilt,SMU,19,157,88,69,False
2025-12-03,Auburn,N.C. State,10,156,83,73,False
2025-12-03,Minnesota,Indiana,9,137,73,64,False
2025-12-03,Illinois Chicago,Arkansas Pine Bluff,-1,125,62,63,False
2025-12-03,Lipscomb,Tennessee Tech,3,163,83,80,False
2025-12-03,Boston University,Vermont St. - Johnson,47,161,104,57,False
2025-12-03,Holy Cross,Northeastern,17,135,76,59,False
2025-12-03,App St.,Virginia-Lynchburg,88,178,133,45,False
2025-12-03,Youngstown St.,Wright St.,1,137,69,68,False
2025-12-03,Western Michigan,Southern Indiana,14,162,88,74,False
2025-12-03,James Madison,North Carolina Central,5,129,67,62,False
2025-12-03,Lamar,Louisiana,10,120,65,55,False
2025-12-03,American University,Drexel,2,148,75,73,False
2025-12-03,Towson,Cornell,13,173,93,80,False
2025-12-03,Dartmouth,New Hampshire,1,137,69,68,False
2025-12-03,USC Upstate,Coastal Carolina,7,163,85,78,True
