rank,name,team,conference,position,class_year,height,season,games_played,ortg,pct_poss,efg_pct,ts_pct,three_pt_rate,ft_rate,ppg,rpg,apg,ast_rate,to_rate,or_pct,dr_pct,fc_per_40,minutes_pct
1,Oscar Cluff,South Dakota St.,,,Sr,6-11,2025,0,129.7,29.0,62.6,66.6,0.0,55.1,0.0,0.0,0.0,0.0,0.0,17.2,32.4,0.0,0.0
2,Graham Ike,Gonzaga,,,Sr,6-9,2025,0,125.1,30.1,0.0,0.0,30.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.7,0.0,0.0
3,Aniwaniwa Tait-Jones,UC San Diego,,,Sr,6-6,2025,0,124.9,30.8,0.0,64.7,0.0,79.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Cooper Flagg,Duke,,,Fr,6-9,2025,0,123.0,30.8,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Jacksen Moni,North Dakota St.,,,Sr,6-10,2025,0,121.1,32.1,0.0,62.9,32.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Dylan Darling,Idaho St.,,,So,6-1,2025,0,120.9,28.9,0.0,0.0,0.0,54.5,0.0,0.0,0.0,35.4,0.0,0.0,0.0,0.0,0.0
7,JT Toppin,Texas Tech,,,So,6-9,2025,0,120.0,30.2,0.0,0.0,32.6,0.0,0.0,0.0,0.0,0.0,0.0,13.9,26.0,0.0,0.0
8,Tylan Pope,Texas St.,,,Sr,6-6,2025,0,119.1,28.8,0.0,0.0,29.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chase Walker,Illinois St.,,,So,6-9,2025,0,118.8,32.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,0.0,0.0,0.0
10,Johni Broome,Auburn,,,Sr,6-10,2025,0,118.5,30.7,0.0,0.0,30.9,0.0,0.0,0.0,0.0,0.0,0.0,14.1,26.1,0.0,0.0
11,Trey Kaufman-Renn,Purdue,,,Jr,6-9,2025,0,118.1,31.1,59.8,0.0,31.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Kam Jones,Marquette,,,Sr,6-5,2025,0,118.1,29.1,0.0,0.0,31.0,0.0,0.0,0.0,0.0,38.2,0.0,0.0,0.0,0.0,0.0
13,Eric Dixon,Villanova,,,Sr,6-8,2025,0,116.7,32.8,0.0,0.0,35.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Dylan Harper,Rutgers,,,Fr,6-6,2025,0,115.2,28.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Malik Thomas,San Francisco,,,Sr,6-5,2025,0,115.1,28.7,0.0,0.0,29.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Jack Karasinski,Bellarmine,,,Jr,6-7,2025,0,114.6,30.1,0.0,0.0,33.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Matt Rogers,American,,,Sr,6-9,2025,0,113.5,29.2,62.8,64.3,32.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Jemel Jones,Cal St. Bakersfield,,,Jr,6-4,2025,0,113.5,34.3,0.0,0.0,39.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Tavion Banks,Drake,,,Jr,6-7,2025,0,113.3,28.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,0.0,0.0,0.0
20,PJ Haggerty,Memphis,,,So,6-3,2025,0,113.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.7
21,Xaivian Lee,Princeton,,,Jr,6-4,2025,0,113.1,29.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.8,0.0,0.0,0.0,0.0,0.0
22,Javon Small,West Virginia,,,Sr,6-3,2025,0,113.0,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.2,0.0,0.0,0.0,1.66,88.8
23,Donovan Dent,New Mexico,,,Jr,6-2,2025,0,112.7,29.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.8,0.0,0.0,0.0,1.45,88.7
24,Jason Edwards,Vanderbilt,,,Jr,6-1,2025,0,112.6,29.6,0.0,0.0,31.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Blaise Threatt,Weber St.,,,Sr,6-3,2025,0,112.4,30.5,0.0,0.0,31.1,0.0,0.0,0.0,0.0,30.5,0.0,0.0,0.0,0.0,85.7
26,Barrington Hargress,UC Riverside,,,So,6-0,2025,0,112.0,31.4,0.0,0.0,34.7,0.0,0.0,0.0,0.0,29.7,0.0,0.0,0.0,0.0,0.0
27,Hunter Dickinson,Kansas,,,Sr,7-2,2025,0,111.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.2,0.0,0.0
28,Jamal Mashburn,Temple,,,Sr,6-2,2025,0,110.5,29.0,0.0,0.0,33.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.0
29,Mark Freeman,James Madison,,,Sr,5-11,2025,0,110.2,28.9,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Austin Benigni,Navy,,,Jr,5-10,2025,0,110.2,30.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.3
